semana,dia,enfoque,fase_semana,bloque,ejercicio,series,reps_o_tiempo,,carga_sugerida,rpe_rir,tempo,descanso,objetivo,regla_tendon_24h,progresion,notas
2,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Skill excéntrico,Negative lean,3,7,,BW,RIR 3-4,5 s negativa,60-90 s,Control excéntrico hombro/escápula,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Bajada de 5s; cero rebotes.
2,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Técnica,Muscle-up en anillas - práctica,6,1 transición asistida,,banda/anillas bajas,RIR 4,controlado,2-3 min,Mantener habilidad sin irritar codo/hombro,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","No fallo. Si sientes tendón, cambia por transición en anillas bajas."
2,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Accesorio,Shoulder press ligero,3,12,,30kg,RIR 3-4,3-1-2,90-120 s,Volumen técnico adicional de hombro,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Debe sentirse fácil y limpio.
2,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Accesorio,Elevación lateral,3,15-20,,ligero,RIR 3-4,2-1-2,60 s,Hipertrofia deltoide sin mucho estrés articular,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",No balancear.
2,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Prehab,YTWL / trap 3 raise,2-3,12-15,,muy ligero,RIR 4,2-1-2,45-60 s,Escápula y manguito rotador,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Calidad > peso.
3,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Volumen alto controlado: RIR 2-3, más sets",Tendón/activación,"Isométrico empuje mid-range (pared o barra, sin dolor)",3-5,30-45 s,,40-60% esfuerzo,dolor <=3/10,isométrico,60-90 s,Analgesia y tolerancia de tendón antes de empujar,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Codo/hombro en posición cómoda; no busques temblor máximo.
3,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Volumen alto controlado: RIR 2-3, más sets",Principal,Incline bench press,4,9,,65-67.5,RIR 2-3,3-1-2,2-3 min,Hipertrofia y fuerza submáxima basada en 70x10/80x5,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","No fallo; barra siempre rápida. Si hombro se siente raro, usa agarre un poco más cerrado."
3,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Volumen alto controlado: RIR 2-3, más sets",Accesorio,Peck deck,4,10-12,,60,RIR 2-3,3-1-2,90-120 s,Volumen de pecho con baja demanda técnica,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Mantén escápulas fijas; no estires agresivo abajo.
3,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Volumen alto controlado: RIR 2-3, más sets",Accesorio,Shoulder press,4,8-10,,36,RIR 2-3,3-1-2,2 min,Deltoide/press sin llegar al límite,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Recorrido limpio; si molesta, cambia a mancuernas o landmine."
3,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Volumen alto controlado: RIR 2-3, más sets",Accesorio controlado,Dips,3,10,,BW,RIR 3,3-1-2,2 min,Mantener patrón sin irritar tendón anterior/hombro,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Prohibido fallo las primeras 7 semanas; profundidad solo hasta donde no moleste.
3,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Volumen alto controlado: RIR 2-3, más sets",Prehab,Rotación externa banda/cable,3,15-20,,ligero,RIR 4,2-1-2,45-60 s,Manguito rotador y estabilidad escapular,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Que queme músculo, no tendón/articulación."
3,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Volumen alto controlado: RIR 2-3, más sets",Tendón/activación,Isométrico curl martillo a 90°,3-5,30-45 s,,moderado,dolor <=3/10,isométrico,60-90 s,Preparar tendón de bíceps/antebrazo,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Muñeca neutra; si se irrita, cambia por agarre pronado."
3,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Volumen alto controlado: RIR 2-3, más sets",Principal,Supine pull-up / dominada supina,5,6,,BW + 5 kg,RIR 2-3,3-1-2,2-3 min,Mantener fuerza con menos estrés que tus +40 kg pesados,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Pecho hacia barra, bajada lenta; no busques fallo."
3,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Volumen alto controlado: RIR 2-3, más sets",Principal accesorio,Gironda row,4,10-12,,54,RIR 2-3,3-1-2,2 min,Volumen de dorsales/romboides basado en 54x10,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Pausa 1s contraído; evita tirones.
3,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Volumen alto controlado: RIR 2-3, más sets",Control escapular,Scap pull-ups,3,10-12,,BW,RIR 4,2-1-2,60-90 s,Técnica de dominada y descarga de codo,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Solo movimiento escapular, brazos largos."
3,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Volumen alto controlado: RIR 2-3, más sets",Accesorio tendón,Hammer curl slow,2-3,12-15,,ligero-moderado,RIR 3-4,3-1-3,60-90 s,Carga lenta para tendón de codo/bíceps,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Sube peso solo si no hay dolor al día siguiente.
3,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Volumen alto controlado: RIR 2-3, más sets",Prehab,Face pull / rear delt,3,15-20,,ligero,RIR 4,2-1-2,60 s,Salud de hombro y postura,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Codos altos sin dolor.
3,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Volumen alto controlado: RIR 2-3, más sets",Tendón/activación,Spanish squat o extensión isométrica,5,30-45 s,,moderado,dolor <=3/10,isométrico,60-90 s,Tolerancia de tendón rotuliano/cuádriceps,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Ángulo cómodo; debe sentirse cuádriceps, no dolor punzante."
3,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Volumen alto controlado: RIR 2-3, más sets",Principal,Squat libre,4,7,,90,RIR 2-3,3-1-2,2-4 min,Hipertrofia/fuerza basada en 100x7,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","No grinder; si la espalda baja molesta, cambia a hack de la fila siguiente."
3,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Volumen alto controlado: RIR 2-3, más sets",Alternativa si no hay squat,Hack squat,4,8-10,,100,RIR 2-3,3-1-2,2-3 min,Mismo objetivo con más estabilidad,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Usa esta fila solo si ese día no haces squat libre.
3,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Volumen alto controlado: RIR 2-3, más sets",Accesorio,Isquio sentado,4,10-12,,45,RIR 2-3,3-1-2,90-120 s,Isquios y protección de rodilla,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Pausa 1s abajo/contraído.
3,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Volumen alto controlado: RIR 2-3, más sets",Accesorio tendón,Extensión de cuadriceps slow,3,12-15,,ligero-moderado,RIR 3,3-1-3,90 s,HSR ligero/moderado para tendón de rodilla,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Rango sin dolor; no bloquear agresivo.
3,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Volumen alto controlado: RIR 2-3, más sets",Accesorio,Pantorrilla de pie o prensa,4,12-15,,15-25 kg o 25 lb+,RIR 2-3,3-1-2,60-90 s,Tendón Aquiles/pantorrilla e hipertrofia,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Sube por reps antes de subir carga.
3,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Volumen alto controlado: RIR 2-3, más sets",Core,Plancha / dead bug,3,30-45 s,,BW,controlado,controlado,60 s,Estabilidad para sentadilla,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Sin dolor lumbar.
3,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,"Volumen alto controlado: RIR 2-3, más sets",Skill controlado,Handstand lean,6,20 s,,BW,técnico,controlado,60-90 s,Tolerancia de muñeca/hombro sin fatiga excesiva,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Corta serie antes de perder posición.
3,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,"Volumen alto controlado: RIR 2-3, más sets",Skill excéntrico,Negative lean,3,8,,BW,RIR 3,5 s negativa,60-90 s,Control excéntrico hombro/escápula,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Bajada de 5s; cero rebotes.
3,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,"Volumen alto controlado: RIR 2-3, más sets",Técnica,Muscle-up en anillas - práctica,5,2 reps técnicas,,banda si hace falta,RIR 3-4,controlado,2-3 min,Mantener habilidad sin irritar codo/hombro,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","No fallo. Si sientes tendón, cambia por transición en anillas bajas."
3,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,"Volumen alto controlado: RIR 2-3, más sets",Accesorio,Shoulder press ligero,3,10,,32,RIR 3,3-1-2,90-120 s,Volumen técnico adicional de hombro,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Debe sentirse fácil y limpio.
3,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,"Volumen alto controlado: RIR 2-3, más sets",Accesorio,Elevación lateral,3,15-20,,ligero,RIR 3-4,2-1-2,60 s,Hipertrofia deltoide sin mucho estrés articular,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",No balancear.
3,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,"Volumen alto controlado: RIR 2-3, más sets",Prehab,YTWL / trap 3 raise,2-3,12-15,,muy ligero,RIR 4,2-1-2,45-60 s,Escápula y manguito rotador,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Calidad > peso.
4,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Carga moderada: RIR 2, no buscar PR",Tendón/activación,"Isométrico empuje mid-range (pared o barra, sin dolor)",3-5,30-45 s,,40-60% esfuerzo,dolor <=3/10,isométrico,60-90 s,Analgesia y tolerancia de tendón antes de empujar,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Codo/hombro en posición cómoda; no busques temblor máximo.
4,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Carga moderada: RIR 2, no buscar PR",Principal,Incline bench press,4,8,,70,RIR 2,3-1-1,2-3 min,Hipertrofia y fuerza submáxima basada en 70x10/80x5,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","No fallo; barra siempre rápida. Si hombro se siente raro, usa agarre un poco más cerrado."
4,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Carga moderada: RIR 2, no buscar PR",Accesorio,Peck deck,4,10,,62.5,RIR 2,3-1-2,90-120 s,Volumen de pecho con baja demanda técnica,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Mantén escápulas fijas; no estires agresivo abajo.
4,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Carga moderada: RIR 2, no buscar PR",Accesorio,Shoulder press,4,8,,38,RIR 2,3-1-1,2 min,Deltoide/press sin llegar al límite,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Recorrido limpio; si molesta, cambia a mancuernas o landmine."
4,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Carga moderada: RIR 2, no buscar PR",Accesorio controlado,Dips,4,8,,BW,RIR 2-3,3-1-2,2 min,Mantener patrón sin irritar tendón anterior/hombro,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Prohibido fallo las primeras 7 semanas; profundidad solo hasta donde no moleste.
4,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Carga moderada: RIR 2, no buscar PR",Prehab,Rotación externa banda/cable,3,15-20,,ligero,RIR 4,2-1-2,45-60 s,Manguito rotador y estabilidad escapular,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Que queme músculo, no tendón/articulación."
4,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Carga moderada: RIR 2, no buscar PR",Tendón/activación,Isométrico curl martillo a 90°,3-5,30-45 s,,moderado,dolor <=3/10,isométrico,60-90 s,Preparar tendón de bíceps/antebrazo,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Muñeca neutra; si se irrita, cambia por agarre pronado."
4,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Carga moderada: RIR 2, no buscar PR",Principal,Supine pull-up / dominada supina,4,6,,BW + 10 kg,RIR 2,3-1-1,2-3 min,Mantener fuerza con menos estrés que tus +40 kg pesados,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Pecho hacia barra, bajada lenta; no busques fallo."
4,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Carga moderada: RIR 2, no buscar PR",Principal accesorio,Gironda row,4,10,,54-56,RIR 2,3-1-2,2 min,Volumen de dorsales/romboides basado en 54x10,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Pausa 1s contraído; evita tirones.
4,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Carga moderada: RIR 2, no buscar PR",Control escapular,Scap pull-ups,3,10-12,,BW,RIR 4,2-1-2,60-90 s,Técnica de dominada y descarga de codo,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Solo movimiento escapular, brazos largos."
4,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Carga moderada: RIR 2, no buscar PR",Accesorio tendón,Hammer curl slow,2-3,12-15,,ligero-moderado,RIR 3-4,3-1-3,60-90 s,Carga lenta para tendón de codo/bíceps,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Sube peso solo si no hay dolor al día siguiente.
4,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Carga moderada: RIR 2, no buscar PR",Prehab,Face pull / rear delt,3,15-20,,ligero,RIR 4,2-1-2,60 s,Salud de hombro y postura,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Codos altos sin dolor.
4,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Carga moderada: RIR 2, no buscar PR",Tendón/activación,Spanish squat o extensión isométrica,5,30-45 s,,moderado,dolor <=3/10,isométrico,60-90 s,Tolerancia de tendón rotuliano/cuádriceps,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Ángulo cómodo; debe sentirse cuádriceps, no dolor punzante."
4,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Carga moderada: RIR 2, no buscar PR",Principal,Squat libre,5,6,,92.5-95,RIR 2,3-1-1,2-4 min,Hipertrofia/fuerza basada en 100x7,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","No grinder; si la espalda baja molesta, cambia a hack de la fila siguiente."
4,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Carga moderada: RIR 2, no buscar PR",Alternativa si no hay squat,Hack squat,4,8,,105,RIR 2,3-1-2,2-3 min,Mismo objetivo con más estabilidad,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Usa esta fila solo si ese día no haces squat libre.
4,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Carga moderada: RIR 2, no buscar PR",Accesorio,Isquio sentado,4,10,,50,RIR 2,3-1-2,90-120 s,Isquios y protección de rodilla,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Pausa 1s abajo/contraído.
4,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Carga moderada: RIR 2, no buscar PR",Accesorio tendón,Extensión de cuadriceps slow,3,12-15,,ligero-moderado,RIR 3,3-1-3,90 s,HSR ligero/moderado para tendón de rodilla,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Rango sin dolor; no bloquear agresivo.
